id,nome,tdPasse,tdCorrido,total
1,Tom Brady,649,28,677
2,Drew Brees,571,26,597
3,Peyton Manning,539,18,557
5,Aaron Rodgers,503,35,538
4,Brett Favre,508,14,522
8,Ben Roethlisberger,418,20,438
7,Dan Marino,420,9,429
6,Philip Rivers,421,3,424
9,Matt Ryan,381,13,394
12,Russell Wilson,350,31,381
13,Fran Tarkenton,342,32,374
10,Eli Manning,366,7,373
11,Matthew Stafford,357,15,372
14,John Elway,300,33,333
16,Warren Moon,291,21,312
18,Kirk Cousins,288,19,307
15,Carson Palmer,294,9,303
17,Johnny Unitas,290,13,303
20,Joe Montana,273,20,293
19,Vinny Testaverde,275,15,290
32,Steve Young,232,43,275
21,Dave Krieg,261,13,274
49,Cam Newton,194,75,269
27,Andy Dalton,244,22,266
22,Derek Carr,257,7,264
31,Donovan McNabb,234,29,263
23,Drew Bledsoe,251,10,261
25,Boomer Esiason,247,14,261
26,Joe Flacco,245,16,261
48,Josh Allen,195,65,260
24,Tony Romo,248,5,253
30,Patrick Mahomes,235,14,249
29,George Blanda,236,9,245
28,Jim Kelly,237,7,244
37,Terry Bradshaw,212,32,244
35,Ryan Tannehill,216,27,243
34,Ryan Fitzpatrick,223,19,242
33,Jay Cutler,227,9,236
43,Dak Prescott,203,29,232
38,Matt Hasselbeck,212,15,227
39,Jared Goff,210,12,222
41,Kerry Collins,208,12,220
45,Alex Smith,199,15,214
42,Kurt Warner,208,3,211
47,Steve DeBerg,196,10,206
57,Lamar Jackson,166,33,199
52,Andrew Luck,171,14,185
54,Chris Chandler,170,13,183
53,Baker Mayfield,171,10,181
56,Jon Kitna,169,12,181
51,Joe Namath,173,7,180
58,Troy Aikman,165,9,174
59,Jameis Winston,154,12,166
60,Carson Wentz,153,11,164
61,Joe Burrow,140,12,152
62,Justin Hebert,137,13,150
63,Kyler Murray,115,31,146
67,Jalen Hurts,85,55,140
65,Sam Darnold,98,14,112
64,Tua Tagovailoa,100,6,106
66,Jimmy Garoppolo,96,7,103
40,Teddy Bridgewater,75,11,86
74,Daniel Jones,70,15,85
55,Trevor Lawrence,69,14,83
75,Gardner Minshew II,68,5,73
78,Brock Purdy,64,8,72
71,Jordan Love,60,5,65
72,Justin Fields,45,19,64
80,Robert Griffin III,43,14,57
68,C.J. Stroud,43,3,46
46,Taylor Heinicke,39,3,42
76,Bo Nix,29,4,33
69,Bryce Young,26,6,32
77,Jayden Daniels,25,6,31
36,Tim Tebow,17,12,29
73,Sam Howell,22,6,28
44,Will Levis,21,1,22
50,Cooper Rush,20,0,20
70,Kenny Pickett,15,5,20
79,Caleb Williams,20,0,20
